;Annotator 1;;;;;;Annotator 2;;;;;;Annotator 3;;;;;;K-Folds (10);;;;;;;;;;
Name;General_risk;Weather;Light;Users;Context;;General_risk;Weather;Light;Users;Context;;General_risk;Weather;Light;Users;Context;;Fold_0;Fold_1;Fold_2;Fold_3;Fold_4;Fold_5;Fold_6;Fold_7;Fold_8;Fold_9;80_20
rs00000.jpg;0;2;3;0;3;;1;6;4;0;0;;1;5;3;0;2;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train
rs00001.jpg;1;0;0;6;8;;1;0;0;1;8;;2;0;0;6;6;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train
rs00002.jpg;0;0;5;0;2;;1;0;8;0;0;;1;0;4;0;3;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train
rs00003.jpg;2;0;2;9;8;;2;1;0;7;6;;2;1;2;8;8;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00004.jpg;1;1;0;0;6;;1;1;0;0;0;;1;2;2;0;4;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00005.jpg;0;0;2;0;2;;1;2;3;0;0;;0;2;1;0;2;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train
rs00006.jpg;1;0;0;6;8;;2;0;0;3;0;;1;0;0;0;7;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00007.jpg;0;0;0;0;0;;0;0;0;0;0;;0;1;1;0;0;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train
rs00008.jpg;0;0;3;0;2;;1;2;6;0;0;;1;0;6;1;3;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Test
rs00009.jpg;1;7;2;0;0;;1;4;6;0;0;;1;1;6;0;1;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00010.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;3;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00011.jpg;2;0;2;8;6;;2;0;0;0;8;;2;0;3;7;7;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00012.jpg;0;0;0;2;3;;0;0;0;0;0;;0;0;0;2;1;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train
rs00013.jpg;0;0;0;0;2;;0;0;0;0;0;;0;0;0;0;2;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train
rs00014.jpg;1;5;1;0;6;;0;0;0;0;0;;1;6;1;0;3;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00015.jpg;1;0;0;0;7;;0;0;0;0;0;;1;0;2;0;6;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00016.jpg;0;1;1;0;3;;0;0;0;0;0;;0;1;1;0;1;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train
